Respondent ID,Collector ID,Start Date,End Date,Custom Data 1,How did you first hear about the Louisiana SPCA Community Clinic,,,,,,What services did you receive?,,How likely are you to use the Community Clinic again?,,,,,Additional feedback
11267515122,212328902,1/10/2020 18:15,1/10/2020 18:19,,,,,,,Adopted from Petco through spca,Other (please specify),Vaccinations ,Extremely likely,,,,,They take great care of my animals. Are much less costly than other vets and have every service imaginable available. Wish I knew about the SPCA sooner!
11265302351,212328902,1/9/2020 19:33,1/9/2020 19:34,,,,,,From a friend,,Wellness exam,,Extremely likely,,,,,It was great
11262915108,212328902,1/8/2020 18:23,1/8/2020 18:23,,,,,,From a friend,,Wellness exam,,Extremely likely,,,,,Love Dr. Sarah! 
11260552562,212328902,1/7/2020 18:21,1/7/2020 18:22,,,,,,From a friend,,Spay/Neuter,,Extremely likely,,,,,
11254429690,212328902,1/4/2020 1:07,1/4/2020 1:08,,,,,,From a friend,,Spay/Neuter,,,Very likely,,,,"Very friendly staff, surgery went well, Tyson was normal in 3 days."
11251040764,212328902,1/1/2020 19:29,1/1/2020 19:31,,,,,,From a friend,,Wellness exam,,,Very likely,,,,Good experience
11248506921,212328902,12/30/2019 6:36,12/30/2019 6:42,,,,,,From a friend,,Other (please specify),Critical treatment for my pet's heartworm issue,Extremely likely,,,,,LA SPCA keepin it 100!!!!   The staff was just wonderful !!!!  I will come back for services in the future   Tax dollars well spent!!!👍
11247245291,212328902,12/28/2019 18:19,12/28/2019 18:21,,,,,,,not sure,Spay/Neuter,,,,Somewhat likely,,,wanted to pick up the feral cat for our neighborhood but didn't receive info on when we would be expected to pick him up. we had a hard time planning.
11246366393,212328902,12/27/2019 19:28,12/27/2019 19:30,,,,,,From a friend,,Spay/Neuter,,Extremely likely,,,,,"Very professional and took care of Maggie with care, I would recommend to everyone."
11239495065,212328902,12/22/2019 19:02,12/22/2019 19:03,,Adopted from Louisiana SPCA,,,,,,Wellness exam,,,Very likely,,,,The staff and vet were very nice. We feel blessed that we found Boomer (beast that he is). Great addition to our family!
11237686135,212328902,12/20/2019 22:20,12/20/2019 22:21,,,,,,From a friend,,Spay/Neuter,,Extremely likely,,,,,
11237476296,212328902,12/20/2019 18:15,12/20/2019 18:15,,Adopted from Louisiana SPCA,,,,,,Other (please specify),boosters,,Very likely,,,,
11235317179,212328902,12/19/2019 18:43,12/19/2019 18:44,,,,Social media,,,,Spay/Neuter,,Extremely likely,,,,,"Very organized, reviewed discharge thoroughly, didn’t feel rushed even with the large amount of people there "
11235301345,212328902,12/19/2019 18:31,12/19/2019 18:32,,,,,,From a friend,,Spay/Neuter,,Extremely likely,,,,,
11233905685,212328902,12/19/2019 7:36,12/19/2019 7:37,,,,,,From a friend,,Spay/Neuter,,,,,,Not at all likely,
11233126394,212328902,12/18/2019 21:50,12/18/2019 21:51,,,,,,,Shelter web site,Spay/Neuter,,,Very likely,,,,
11232848706,212328902,12/18/2019 18:13,12/18/2019 18:13,,,,Social media,,,,Spay/Neuter,,,,Somewhat likely,,,
11231984515,212328902,12/18/2019 11:28,12/18/2019 11:29,,,,,,From a friend,,Spay/Neuter,,Extremely likely,,,,,The staff was very professional and informative. 
11230362024,212328902,12/17/2019 20:23,12/17/2019 20:24,,,,Social media,,,,Spay/Neuter,,Extremely likely,,,,,The staff was so nice and helpful! They seem to really care about the animals. 
11227268736,212328902,12/16/2019 17:30,12/16/2019 17:31,,Adopted from Louisiana SPCA,,,,,,Wellness exam,,Extremely likely,,,,,
11214963335,212328902,12/11/2019 13:47,12/11/2019 13:50,,,,Social media,,,,Spay/Neuter,,Extremely likely,,,,,Everyone was super nice and we received excellent care! I drove from lafayette to come and they let me take my dog cash as soon as he was good so I can leave New Orleans sooner than 4! They even gave cash some medicine for the road to help with nausea! I would definitely recommend y’all in the future! 
11212425463,212328902,12/10/2019 18:45,12/10/2019 18:46,,,,,,From a friend,,Spay/Neuter,,Extremely likely,,,,,
11212356793,212328902,12/10/2019 18:14,12/10/2019 18:14,,,,Social media,,,Facebook ,Spay/Neuter,,Extremely likely,,,,,Everyone was great and friendly to us and Samson.
11205610647,212328902,12/8/2019 20:02,12/8/2019 20:06,,,,,In the news,,new  of the Japonica street site,Wellness exam,,Extremely likely,,,,,It was a big help.  The staff was friendly and good with the dog. Thanks
11203586030,212328902,12/7/2019 6:58,12/7/2019 7:02,,,,,,,I've known of the LASPCA since I was a little guy.,Wellness exam,,Extremely likely,,,,,"Friendly, great and professional staff."
11200456691,212328902,12/5/2019 23:46,12/5/2019 23:47,,,,,,From a friend,,Spay/Neuter,,Extremely likely,,,,,Great staff   TNR program is wonderful 
11197847698,212328902,12/5/2019 5:10,12/5/2019 5:10,,,,,,From a friend,,Spay/Neuter,,Extremely likely,,,,,Wonderful easy to work with 
11197508525,212328902,12/5/2019 1:37,12/5/2019 1:38,,,,,,,Terrebonne parish animal shelter,Spay/Neuter,,Extremely likely,,,,,My baby is healing well. Thank you
11196897742,212328902,12/4/2019 18:42,12/4/2019 18:42,,,,Social media,,,,Spay/Neuter,,,Very likely,,,,Thank you for your work!
11194566029,212328902,12/4/2019 4:59,12/4/2019 5:00,,,,,,From a friend,,Spay/Neuter,,Extremely likely,,,,,
11193933069,212328902,12/3/2019 22:08,12/3/2019 22:09,,,,,,From a friend,,Spay/Neuter,,Extremely likely,,,,,Very nice
11193515701,212328902,12/3/2019 18:14,12/3/2019 18:15,,,,,,From a friend,,Wellness exam,,Extremely likely,,,,,
11186690250,212328902,12/1/2019 16:51,12/1/2019 16:53,,,,,,From a friend,,Spay/Neuter,,,Very likely,,,,Neuter paid through Pet Smart grant.  Paid separately for shots.  Just wish they had discharged as dog was ready not a group discharge.  No opportunity to ask questions specific to my animal.  
11182152169,212328902,11/28/2019 18:39,11/28/2019 18:41,,,,Social media,,,,Wellness exam,,Extremely likely,,,,,The checkout procedure took a while.  We were done with our appointment but then had to sit back down and wait a good bit.  I feel that this could move a little more quickly and smoothly.
11179923098,212328902,11/27/2019 21:16,11/27/2019 21:17,,Adopted from Louisiana SPCA,,,,,,Wellness exam,,Extremely likely,,,,,"Very nice people, great service!"
11179710596,212328902,11/27/2019 18:34,11/27/2019 18:34,,Adopted from Louisiana SPCA,,,,,,Other (please specify),Lepto shot,Extremely likely,,,,,
11179698673,212328902,11/27/2019 18:25,11/27/2019 18:26,,,,Social media,,,,Spay/Neuter,,Extremely likely,,,,,
11178979554,212328902,11/27/2019 12:13,11/27/2019 12:14,,,,,,,Visit in the past,Spay/Neuter,,Extremely likely,,,,,
11177344811,212328902,11/26/2019 22:46,11/26/2019 22:47,,Adopted from Louisiana SPCA,,,,,,Other (please specify),Follow up shots after adoption,Extremely likely,,,,,Great staff 
11176959147,212328902,11/26/2019 18:53,11/26/2019 18:53,,Adopted from Louisiana SPCA,,,,,,Wellness exam,,Extremely likely,,,,,
11176910997,212328902,11/26/2019 18:27,11/26/2019 18:28,,,,Social media,,,,Spay/Neuter,,,Very likely,,,,
11176900110,212328902,11/26/2019 18:22,11/26/2019 18:22,,,,,In the news,,,Spay/Neuter,,Extremely likely,,,,,
11168761382,212328902,11/23/2019 11:56,11/23/2019 11:58,,,,,,From a friend,,Spay/Neuter,,,,Somewhat likely,,,
11165840194,212328902,11/22/2019 6:30,11/22/2019 6:31,,Adopted from Louisiana SPCA,,,,,,Spay/Neuter,,Extremely likely,,,,,staff was friendly and procedure went as described
11165799602,212328902,11/22/2019 6:10,11/22/2019 6:11,,,,,In the news,,,Spay/Neuter,,Extremely likely,,,,,dissappointed that my dog could not have her surgery but very glad to learn she has a heart condition
11164938628,212328902,11/21/2019 20:39,11/21/2019 20:40,,,,Social media,,,,Spay/Neuter,,Extremely likely,,,,,Amazing staff 
11161917422,212328902,11/20/2019 23:33,11/20/2019 23:33,,,,,,From a friend,,Spay/Neuter,,Extremely likely,,,,,None at this time
11161398844,212328902,11/20/2019 18:18,11/20/2019 18:19,,,,,,From a friend,,Spay/Neuter,,,,Somewhat likely,,,
11159705710,212328902,11/20/2019 8:36,11/20/2019 8:39,,,,Social media,,,,Spay/Neuter,,Extremely likely,,,,,Alicia Hijuelos was so kind and professional! She was extremely informative. We will always support the SPCA because of the services they provide for our community and employees like Alicia !!!!
11158614384,212328902,11/19/2019 22:39,11/19/2019 22:39,,,,Social media,,,,Spay/Neuter,,Extremely likely,,,,,Would Recommend to anyone
11158181588,212328902,11/19/2019 18:36,11/19/2019 18:37,,,,Social media,,,,Spay/Neuter,,Extremely likely,,,,,
11156348249,212328902,11/19/2019 8:49,11/19/2019 8:50,,,,Social media,,,,Spay/Neuter,,,Very likely,,,,N/A
11154111000,212328902,11/18/2019 14:55,11/18/2019 14:56,,,,,,From a friend,,Spay/Neuter,,Extremely likely,,,,,Awesome work and services
11150996085,212328902,11/17/2019 10:27,11/17/2019 10:29,,,,,,From a friend,,Wellness exam,,Extremely likely,,,,,
11150289543,212328902,11/16/2019 19:38,11/16/2019 19:42,,,,,,,From a vendor at PetSmart,Wellness exam,,Extremely likely,,,,,"I was very pleased at the treatment my pet received at the clinic.  Everyone was helpful and informative.  Also, I was very pleased with the price for the services.  I had never been to the SPCA new facility.  Me and my son thought it was awesome!  We definitely be returning.  I already set up the two appointments.  Thanks again. "
11149896058,212328902,11/16/2019 12:22,11/16/2019 12:23,,,,Social media,,,,Spay/Neuter,,Extremely likely,,,,,Thanks
11148741239,212328902,11/15/2019 17:43,11/15/2019 17:46,,,,,,,Wife,Spay/Neuter,,Extremely likely,,,,,Everyone was very professional and kind. Our fur baby is doing well and I really liked all of the confirmations I received to remind me about his appt 
11147610022,212328902,11/15/2019 10:22,11/15/2019 10:24,,,,Social media,,,,Spay/Neuter,,Extremely likely,,,,,Everyone was friendly and knowledgeable. The only thing I would suggest is having someone check the sign in board often in the front. I signed in to pick smokey up and I had to go to the desk because nobody checked the board and others coming in after me got their dog called up right away. 
11147195270,212328902,11/15/2019 8:17,11/15/2019 8:18,,,Google,,,,,Other (please specify),Flu shot,,,Somewhat likely,,,
11143171469,212328902,11/14/2019 2:06,11/14/2019 2:07,,,,,,From a friend,,Wellness exam,,Extremely likely,,,,,Great staff all around.
11142826904,212328902,11/13/2019 21:56,11/13/2019 21:57,,,,,,,Animal Shelter,Spay/Neuter,,Extremely likely,,,,,
11142539588,212328902,11/13/2019 19:16,11/13/2019 19:17,,,Google,,,,,Spay/Neuter,,Extremely likely,,,,,Great service 
11141620454,212328902,11/13/2019 13:27,11/13/2019 13:28,,,,,,From a friend,,Spay/Neuter,,Extremely likely,,,,,This place is Awesome!! Very nice people!  ❤❤ Thanks for taking care of my Buddy 
11140611837,212328902,11/13/2019 8:50,11/13/2019 8:51,,,,Social media,,,,TNR,,Extremely likely,,,,,
11131658944,212328902,11/9/2019 20:04,11/9/2019 20:04,,Adopted from Louisiana SPCA,,,,,,Heartworm treatment,,,,Somewhat likely,,,Very long wait
11128279785,212328902,11/8/2019 6:59,11/8/2019 7:00,,,,,In the news,,,Spay/Neuter,,Extremely likely,,,,,The staff was so friendly and accommodating. The facilty was very clean.
11127667991,212328902,11/8/2019 1:09,11/8/2019 1:11,,,,Social media,In the news,From a friend,,Spay/Neuter,,Extremely likely,,,,,I just wish a live person can answer calls right before drop off timing around 7;30 am
11122957960,212328902,11/6/2019 12:47,11/6/2019 12:55,,,Google,,,,,Spay/Neuter,,,,,,Not at all likely,This operation was done 6 days ago and my kitten is still not walking properly. It seems the anesthesia was administered in an area that affected a major nerve on the right side of his body. His hind leg keeps sliding from underneath him. it seems like he still cannot feel it. He keeps bending his front right paw when he places it down. He finally was able to make it to the litterbox on his own yesterday.
11113718509,212328902,11/3/2019 10:35,11/3/2019 10:35,,Adopted from Louisiana SPCA,,,,,,Wellness exam,,,Very likely,,,,
11113148724,212328902,11/2/2019 23:29,11/2/2019 23:29,,,Google,,,,,Heartworm treatment,,Extremely likely,,,,,
11112956938,212328902,11/2/2019 18:50,11/2/2019 18:52,,Adopted from Louisiana SPCA,,,,,,Wellness exam,,Extremely likely,,,,,I enjoyed the experience and Basil did too! 
11112705671,212328902,11/2/2019 14:01,11/2/2019 14:02,,,,,,,Facebook ,Spay/Neuter,,Extremely likely,,,,,They an amazing job !
11106478396,212328902,10/31/2019 0:03,10/31/2019 0:04,,,,,In the news,,,Wellness exam,,Extremely likely,,,,,It was a very pleasant experience.  Very professional and extremely helpful.  
11103292819,212328902,10/29/2019 23:36,10/29/2019 23:37,,,,Social media,,,Family ,Spay/Neuter,,Extremely likely,,,,,Thank you for taking care of my pup. The staff was extremely helpful and friendly. Keep up the great work and y’all are much appreciated! 
11103124180,212328902,10/29/2019 21:30,10/29/2019 21:33,,,,,,From a friend,,Spay/Neuter,,Extremely likely,,,,,
11097340963,212328902,10/27/2019 23:21,10/27/2019 23:25,,,,,,From a friend,,Spay/Neuter,,,Very likely,,,,Thank you so much for taking great care for my baby. Awesome service and very pleased with the staff and how I was very comfortable leaving Harley Girl in their hands. 
11097311474,212328902,10/27/2019 22:50,10/27/2019 22:51,,,,,,,Drive by location,Wellness exam,,Extremely likely,,,,,"Very friendly, took time to answer all my questions, loved my puppy, and gave us our own individual attention "
11097065075,212328902,10/27/2019 18:43,10/27/2019 18:44,,Adopted from Louisiana SPCA,,,,,,Other (please specify),Last of his shots,Extremely likely,,,,,Friendly and fast!
11096419816,212328902,10/27/2019 7:25,10/27/2019 7:26,,Adopted from Louisiana SPCA,,,,,,Wellness exam,,Extremely likely,,,,,Nice facility.  It is clear that staff care about animals.  Highly recommend!
11096187864,212328902,10/27/2019 1:22,10/27/2019 1:24,,,,Social media,,From a friend,,Spay/Neuter,,Extremely likely,,,,,"Very pleasant people, differently go back!"
11094731181,212328902,10/25/2019 20:03,10/25/2019 20:11,,,,Social media,,,,Spay/Neuter,,Extremely likely,,,,,Great job! Thanks so much
11090508899,212328902,10/24/2019 9:53,10/24/2019 9:54,,,,,,,Terrebonne animal shelter,Spay/Neuter,,,Very likely,,,,
11089325796,212328902,10/23/2019 23:35,10/23/2019 23:36,,,,,In the news,,,Wellness exam,,Extremely likely,,,,,Love the Staff!!! They’re  so informative 
